PERMNO,date,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,NUMTRD
84398,2004-01-02,110.73000,112.19000,111.23000,38075600,-0.000449,110.99000,111.00000,
84398,2004-01-05,111.59000,112.52000,112.44000,27967400,0.010878,112.37000,112.38000,
84398,2004-01-06,112.00000,112.73000,112.55000,20501200,0.000978,112.63000,112.63000,
84398,2004-01-07,111.89000,113.06000,112.93000,30180000,0.003376,112.89000,112.90000,
84398,2004-01-08,112.77000,113.41000,113.38000,37044600,0.003985,113.32000,113.31000,
84398,2004-01-09,112.27000,113.50000,112.39000,54092300,-0.008732,112.50000,112.53000,
84398,2004-01-12,112.36000,113.25000,113.22000,33566500,0.007385,113.09000,113.07000,
84398,2004-01-13,111.76000,113.23000,112.56000,54286400,-0.005829,112.46000,112.46000,
84398,2004-01-14,112.67000,113.66000,113.50000,30141400,0.008351,113.30000,113.31000,
84398,2004-01-15,112.58000,114.06000,113.78000,38432600,0.002467,113.54000,113.53000,
84398,2004-01-16,113.63000,114.31000,114.23000,31925800,0.003955,114.24000,114.25000,
84398,2004-01-20,113.82000,114.65000,114.20000,29879500,-0.000263,114.25000,114.25000,
84398,2004-01-21,113.72000,115.30000,115.10000,30743000,0.007881,115.06000,115.07000,
84398,2004-01-22,114.58000,115.38000,114.80000,29914000,-0.002606,114.72000,114.73000,
84398,2004-01-23,113.95000,115.37000,114.43000,49968600,-0.003223,114.36000,114.38000,
84398,2004-01-26,114.38000,115.93000,115.87000,30474100,0.012584,115.81000,115.81000,
84398,2004-01-27,114.65000,116.50000,114.68000,35353000,-0.010270,114.72000,114.73000,
84398,2004-01-28,112.94000,115.28000,113.37000,52884100,-0.011423,113.27000,113.24000,
84398,2004-01-29,112.56000,113.85000,113.48000,60119900,0.000970,113.71000,113.72000,
84398,2004-01-30,113.09000,113.72000,113.48000,30992800,0.000000,113.44000,113.45000,
84398,2004-02-02,113.12000,114.68000,113.97000,38850200,0.004318,113.84000,113.85000,
